	none	none none																																
helmet mounted displays																																		
heuristic algorithms																																		
high performance computing																																		
high-display condition																																		
high-interaction fidelity condition																																		
high-quality tracking																																		
high-speed optical techniques																																		
high-temperature superconductors																																		
hip																																		
histograms																																		
historical reconstruction																																		
history																																		
hmd calibration																																		
holographic displays	holographic optical components	holography	holograms	computer-generated holography	computer generated holography																													
hololens																																		
home-oriented virtual reality applications																																		
horses																																		
hospitals																																		
hrtf																																		
human agents																																		
human body language																																		
human body motion																																		
human computer interaction (hci)	human com puter interaction (hci)	human computer inter-action	human computer interaction	human computer interaction(hci)	human-computer interaction	computer human interface	human-centered computing-human computer interaction (hci)	human-centered computing-human computer interaction (hci)-																										
human factors and ergonomics	human factors and ergonomics (h.1.2)	h.1.2 information systems: user/machine systems-human factors	h.1.2 information systems: user/machine systems — human factors	h.1.2 information systems: user/machine systems—human factors	h.1.2 models and principles: user/machine systems — human factors	h.1.2 models and principles: user/machine systems-human factors	h.1.2 models and principles: user/machine systems—human factors	h.1.2 models and principles: user/machine systems¿human factors	h.1.2 user/machine systems: human factors	h.l.2. information systems: models and principles-human factors	h1.2 models and princiles: user/machine systems — human factors	h.1.2 models and principles: user/machine systems-human factors	human factors	i.3.7 computer graphics: general-human factors			h.5.2-information interfaces and presentation: multimedia information systems-ergonomics	h.5.2 information interfaces and presentation: user interfaces-ergonomics	ergonomics	i.3.6 computer graphics: methodology and techniques-ergonomics and interaction techniques	i.3.6 computer graphics: methodology and techniques-ergonomics													
human in the loop																																		
human information processing		human information processing (h.1.2)	h.1.2	h.1.2 human information processing	h.1.2 user/machine systems: human information processing	h.1.2 [models and principles]: user/machine systems-human information processing																												
human olfactory characteristics																																		
human performance																																		
human-avatar interaction																																		
human-centered computing	human- centered computing	human-centered computing-	humancentered computing	human-centered-computing	human-centered computing	human-centered interaction																												
human-machine interfaces		human-machine interaction	user/machine systems																															
human-robot interfaces		human robot interaction																																
humanoid robots																																		
humans																																		
hybrid control																																		
hybrid power systems																																		
hybrid rendering																																		
hybrid systems																																		
hybrid virtual environments																																		
hydraulic actuators																																		
hyper-reality																																		
ice																																		
identity management systems																																		
identity-based encryption																																		
illumination																																		
illumination coherence																																		
illusion																																		
image																																		
image analysis																																		
image coding																																		
image color analysis																																		
image converters																																		
image databases																																		
image deconvolution																																		
image edge detection																																		
image fusion																																		
image generation	i.3.3 computing methodologies: computer graphics-picture/image generation																																	
image manipulation																																		
image motion analysis																																		
image processing	computing methodologies�computer graphics�image manipulation�image processing	computing methodologies-computer graphics-image manipulation-image processing																																
image quality																																		
image reconstruction																																		
image registration																																		
image remapping																																		
image resolution																																		
image sampling																																		
image segmentation																																		
image sensors																																		
image sequences																																		
image texture analysis																																		
image-based rendering	image-based rendering: computing methodologies-computer graphics-image manipulation-image-based rendering	image-based techniques	image-based modeling and rendering	computer graphics techniques-image-based rendering-scene rendering	computing methodologies�computer graphics�image manipulation�image-based rendering																													
imaging phantoms																																		
immersion																																		
immersion effect																																		
immersive analytics	immersive visualization	human-centered computing�visualization�visualization techniques�virtual reality																																
immersive applications																																		
immersive collaborative virtual environments																																		
immersive displays																																		
immersive environments																																		
immersive gaming																																		
immersive learning	immersive training	virtual training																																
immersive space																																		
impact																																		
impedance																																		
implants																																		
implementation																																		
impossible spaces																																		
in camera vfx																																		
in situ research																																		
in vivo																																		
in-air selection																																		
in-place augmented reality sketching																																		
independent component analysis																																		
indigenous																																		
indirect cursor																																		
indoor position tacking																																		
inducing fear																																		
inductors	induction generators	induction motors																																
industrial control	j.7 computers in other systems: industrial control																																	
industrial engineering																																		
industrial training																																		
inertial sensors																																		
inference algorithms																																		
information analysis																																		
information filtering																																		
information filters																																		
information geometry																																		
information interfaces and presentation		h.5.1 information interfaces and presentation	h.5 information interfaces and presentation	h.5.1 information interfaces and presentation (e.g	h.5.1 [information interfaces and presentation (e.g	information presentation																												
information processing																																		
information resources																																		
information retrieval																																		
information science																																		
information systems	h.4.3 information systems application	information technology																																
information visualization																																		
infrared imaging																																		
infrared tags																																		
injuries																																		
ink																																		
ink-jet																																		
input devices	input device	input devices and strategies	input devices and strategies	h.5.2 information interfaces and presentation: user interfaces-input devices and strategies	user interfaces: input devices and strategies (h.5.2)	h.5.2 user interfaces: input devices and strategies	h.5.2: user interfaces - input devices and strategies	h5.2 information interfaces and presentation: user interfaces — input devices and strategies																										
input/output channels and controllers	b.4.2 input/output devices: channels and controllers																																	
input/output devices	computer input/output	b.4.2 input/output and data communications: input/output devices																																
insects																																		
inspection																																		
instruments																																		
integrated circuit modeling																																		
intelligent																																		
intelligent networks																																		
intelligent systems																																		
intelligent virtual environments																																		
intensity (computer vision)	computer vision: intensity	i.2.10 [artificial intelligence]: vision and scene understanding�intensity	intensity																															
interaction																																		
interaction design	interaction design pro-cess and methods	interaction design process and methods	interaction design theory	human-centered computing-interaction design	human-centered computing—interaction design																													
interaction devices	human-centered computing-human computer interaction (hci)-interaction devices																																	
interaction fidelity	interaction fidelity evaluation																																	
interaction paradigms																																		
interaction space																																		
interaction styles	h.5.2 information interfaces and presentation: user interfaces-interaction styles	h.5.2 information interfaces and presentation: user interfaces — interaction styles	h.5.2 information interfaces and presentation: user interfaces. - interaction styles	h.5.2 user interfaces: interaction styles	h.5.2. information interfaces and presentation: user interfaces - interaction styles	h5.2 information interfaces and presentation: user interfaces-interaction styles	user interfaces: interaction styles (h.5.2)																											
interaction techniques	i.3.6 computer graphics: methodology and techniques - interaction techniques	i.3.6 [computer graphics]: methodology and techniques-interaction techniques	i.3.6 [computer graphics]: methodology and techniques_interaction techniques		i.3.6 computer graphics: interaction techniques 	i.3.6 computer graphics: methodology and techniques-interaction techniques	i.3.6 computer graphics: methodology and techniques—interaction techniques	i.3.6 methodology and techniques - interaction techniques	human-centered computing�human computer interaction (hci)�interaction techniques	human-centered computing—human computer interaction (hci)—interaction techniques	human-centered computing—interaction techniques	i.6.3 computing methodologies: methodologies and techniques-interaction techniques	human-centered computing-human computer interaction (hci)-interaction techniques	human-centered computing-human computer interaction-interaction techniques	interaction techniques	interaction technique	interaction techniques for mr/ar																	
interactions																																		
interactive 3d model																																		
interactive 3d reconstruction																																		
interactive and reactive computation	f.1.2 computation by abstract devices: modes of computation¿interactive and reactive computation																																	
interactive ar visualization																																		
interactive construction																																		
interactive devices																																		
interactive dve system																																		
interactive environments																																		
interactive learning environments	applied computing-education-interactive learning environments	applied computing—education—interactive learning environments	applied computing-interactive learning environments																															
interactive mode																																		
interactive modification																																		
interactive physical model building																																		
interactive systems and tools	interactive systems	human-centered computing-interactive systems and tools	human-centered computing—human computer interaction (hci)—interactive systems and tools																															
interactivity																																		
interdependence																																		
interface																																		
interface design prototyping	interface design prototyping human-centered computing																																	
interference																																		
interior decoration																																		
international collaboration																																		
internet																																		
interpolation																																		
interreflections																																		
interscopic user interfaces																																		
interviews																																		
intuitive physics																																		
inverse kinematics																																		
investments	investment																																	
ip networks																																		
iris																																		
iris recognition																																		
iron																																		
irrigation																																		
isolation technology																																		
isosurfaces																																		
isovist																																		
iterative algorithms																																		
iterative design																																		
iterative methods																																		
jacobian matrix	jacobian matrices																																	
java																																		
jitter																																		
job design																																		
joining processes																																		
joints																																		
jumping																																		
kalman filters																																		
kernel																																		
keyboards																																		
kinematics																																		
kinesthetics learning																																		
knee																																		
knowledge acquisition																																		
knowledge based systems																																		
knowledge representation																																		
label placement																																		
laboratories																																		
laboratory experiments	human-centered computing-human computer interaction (hci) -hci design and evaluation methods-laboratory experiments	human-centered computing�hci�hci design and evaluation methods�laboratory experiments																																
lagrangian functions																																		
land vehicles	road vehicles																																	
landmarks																																		
languages	i.3.6 computer graphics methodology and techniques---languages	languages and systems																																
laparoscopic surgery	laparoscopy simulation	minimally invasive surgery																																
lapping																																		
large high-resolution displays	highresolution display																																	
large-format displays	large screen displays	large format displays	large displays	wall displays																														
large-scale modeling																																		
large-scale systems																																		
large-screen immersive displays																																		
laser feedback																																		
laser modes																																		
laser radar																																		
laser surgery																																		
laser theory																																		
latency																																		
lattice-first algorithm																																		
lattices																																		
launching																																		
law																																		
law enforcement																																		
layout																																		
leader perspective																																		
leadership																																		
learned methods																																		
learning																																		
learning systems																																		
led walls																																		
leg																																		
legged locomotion																																		
length measurement																																		
lens distortion correction																																		
lenses																																		
level design																																		
level editor																																		
level of detail																																		
levels of scale																																		
libraries	human-centered computing-interaction design human-centered computing-visualization applied computing-arts and humanities applied computing-digital libraries and archives																																	
licenses																																		
life and medical sciences	j.3 computer applications: life and medical sciences	j.3 life and medical sciences	applied computing-life and medical sciences	life and medical sciences	life and medical science																													
life science education																																		
lifting equipment																																		
light emitting diodes																																		
light field projection																																		
light fields																																		
light sources																																		
lighting																																		
lighting condition																																		
lighting reproduction																																		
limited rotation																																		
limited translation																																		
line of sight																																		
linear induction motor																																		
linear systems																																		
lips																																		
liquid crystal displays	liquid crystal devices																																	
liquids																																		
load management																																		
load modeling																																		
load partitioning																																		
location awareness																																		
location-based entertainment																																		
location-based services	information systems-location based services	location based systems																																
locomotion	locomotion and navigation	locomotion interfaces	locomotion methods	locomotion technique	locomotion techniques	human-centered computing�virtual reality�interaction techniques�locomotion																												
logic gates																																		
logic testing																																		
logmar																																		
longer-distance travel																																		
loop closure problem																																		
loudspeakers																																		
low cost resource-constrained systems																																		
low latency communication																																		
low pass filters																																		
low-display condition																																		
low-interaction fidelity condition																																		
low-persistence																																		
lubricating oils																																		
lucid dreaming																																		
machine intelligence																																		
machine learning / deep learning	deep learning	neural networks	computer systems organization�neural networks	computer systems organization-neural networks	artificial neural networks	feedforward neural networks	recurrent neural networks	convolutional neural network	transformer neural network	lstm	gan	computing methodologies-machine learning-machine learning approaches-neural networks	machine learning	learning (artificial intelligence)	machine learning algorithms	computing methodologies-machine learning approaches-	i.2.6 artificial intelligence: learning-connectionism and neural nets																	
machine vision																																		
machinery	machining																																	
magic barrier tape paradigm																																		
magic lens																																		
magic mirror																																		
magnetic analysis																																		
magnetic fields	magnetic field measurement																																	
magnetic heads																																		
magnetic resonance imaging																																		
magnetic sensors																																		
magnetic separation																																		
magnetics																																		
maintenance engineering																																		
malignant tumors																																		
man machine systems																																		
management training																																		
manipulation																																		
manipulator dynamics																																		
manipulator kinematics																																		
manipulators																																		
manual cancer detection																																		
manual control																																		
manual per user adjustment																																		
manual skill																																		
manuals																																		
manufactured products																																		
manufacturing	manufacturing systems	manufacturing processes																																
manufacturing industries																																		
marine animals																																		
marine vehicles																																		
maritime visualization																																		
markerless camera tracking	markerless																																	
markov processes	g. 3 probability and statistics: markov processes																																	
marksmanship																																		
mars																																		
mass perception																																		
mass spectrometry																																		
massspring models																																		
master-slave																																		
matched filters																																		
materials	material	materials testing																																
mathematical models	mathematical model																																	
mathematics																																		
matrix decomposition																																		
matting and compositing																																		
mdi vr hmd																																		
measurement	measurement standards	measurement techniques	c.4 performance of systems-measurement techniques																															
mechanical engineering																																		
mechanical factors																																		
mechanical stimulation																																		
media																																		
media arts	applied computing�arts and humanities�media arts	human-centered computing—applied computing-arts and humanities—media arts	painting	paints																														
mediated and diminished reality																																		
medical application																																		
medical augmented reality																																		
medical computing																																		
medical diagnostic imaging																																		
medical education	medical training	medical training simulator	medical simulation	chinese acupuncture—medical education																														
medical information system																																		
medical procedural simulators																																		
medical services																																		
medical treatment	medical procedure																																	
medicine																																		
meditation																																		
memory																																		
memory augmentation																																		
memory management																																		
mental workload																																		
merging																																		
message passing																																		
metadata																																		
metalworking machines																																		
metamerisation																																		
meters																																		
methodology																																		
metrology																																		
mice																																		
micro dispenser																																		
micro-ct																																		
microoptics																																		
microphones																																		
microprocessors																																		
microscopy																																		
microsoft kinect	kinect																																	
middleware																																		
milling machines																																		
mimics																																		
mindfulness																																		
mini map																																		
mirror neuron system																																		
mirrors	mirror																																	
miscellaneous information interface issues	h.5.m. information interfaces and presentation (e.g. hci): miscellaneous	h.5.m information interfaces and presentation: miscellaneous	miscellaneous																															
mixed and augmented reality	human-centered computing-human computer interaction (hci)-interaction paradigms-mixed/augmented reality	human-centered computing mixed / augmented reality	human-centered computing-human computer interaction (hci)-interaction paradigms-mixed / augmented reality	human-centered computing-human computer interaction (hci)-interaction paradigms-mixed / augmented re-ality	human-centered computing-mixed / augmented reality	human-centered computing—mixed / augmented reality	human-centered computing—human-computer interaction (hci)—interaction paradigms—mixed/augmented reality	human-centered computing—human computer interaction (hci)—interaction paradigms— mixed / augmented reality	human-centered computing—human computer interaction (hci)—interaction paradigms—mixed / augmented reality	human-centered computing—human computer interaction (hci)—interaction paradigms—mixed/augmented reality	human-centered computing—human computer interaction (hci)—mixed / augmented reality—	human-centered computing� mixed / augmented reality	human-centered computing�human computer interaction (hci)�interaction paradigms�mixed/ augmented reality	human-centered computing�human computer interaction (hci)�interaction paradigms�mixed / augmented reality	human-centered computing�hci�interaction paradigms�mixed / augmented reality	computing methodologies-mixed / augmented reality computing methodologies	computing methodologies-computer graphics-graphics systems and interfaces-mixed / augmented reality	computing methodologies-computer graphics-mixed / augmented reality	computing methodologies�computer graphics�graphics systems and interfaces�mixed/augmented reality	computing methodologies—computer graphics—graphics systems and interfaces—mixed / augmented reality	mixed and augmented reality	mixed / augmented reality	mixed/augmented reality	mixed and augmented reality human-centered computing	mixed / augmented reality human-centered computing	human-centered computing-human computer interaction (hci)-interaction paradigms-mixed/augmented reality	human-centered computing-human computer interaction (hci)-interaction paradigms-mixed / augmented reality	human-centered computing�human computer interaction (hci)�interaction paradigms�mixed/augmented reality	human-centered computing-human computer interaction chci)-interaction paradigms-mixed/augmented reality	mixed reality-360°	mixed reality—immersive technologies—virtual environments—			
mixed reality games																																		
mixed simulation																																		
mobile and ubiquitous visualization																																		
mobile brain/body imaging																																		
mobile communication																																		
mobile mixed reality																																		
mobile robots																																		
mobile vr																																		
model development																																		
model reduction																																		
model-based tracking																																		
model-driven engineering																																		
modeling	computing methodologies-modeling and simulation-model development and analysis-modeling methodologies	i.6.5 simulation and modeling: model development-modeling methodologies																																
modeling and simulation	modeling and simulation	computing methodologies-modeling and simulation	simulation	i.6.3 simulation and modeling: applications-	i.6.3 computing methodologies: simulation and modeling-applications	i.6.3 computing methodologies: simulation and modeling — applications																												
modeling of virtual characters																																		
modeling packages																																		
modular programming																																		
modulation																																		
monitoring																																		
monos devices																																		
monte carlo methods																																		
mood																																		
moon																																		
morphology																																		
mosaicing																																		
motion (computer vision)	computer vision: motion	i.4.8 image processing and computer vision: scene analysis-motion	i.4.8 image processing and computer vision: scene analysis — motion	1.4.8 image processing and computer vision: scene analysis-motion	i.2.10 artificial intelligence: vision and scene understanding-motion	motion																												
motion analysis																																		
motion blur																																		
motion capture	image and video acquisition—motion capture	motion capture systems	motion capture	computing methodologies-computer graphics-animation-motion capture																														
motion controller	motion control																																	
motion detection																																		
motion dynamics																																		
motion estimation																																		
motion gain																																		
motion measurement																																		
motion parallax																																		
motion path planning	computing methodologies-motion path planning																																	
motion perception																																		
motion pictures																																		
motion planning																																		
motion prediction																																		
motion retargeting																																		
motion-tracked avatars																																		
motor control																																		
motor drives																																		
motor-skills training																																		
motorcycles																																		
mouse pointer navigation																																		
mouth																																		
movement distortion																																		
movie with scents																																		
moving cameras	moving camera																																	
moving targets																																		
multi camera																																		
multi-agent systems	multi-agent simulation																																	
multi-channel dynamic immersion hmd																																		
multi-display environment	multi-monitor																																	
multi-frame rate rendering	multi-frame rate display																																	
multi-gpu systems																																		
multi-player online games	massively multi-player online worlds	massive multiplayer online game																																
multi-server architecture																																		
multi-task learning																																		
multi-user interface	multi-user interaction	multi-user	multi-user systems	multiple users																														
multi-user vr	multiuser vr																																	
multi-view																																		
multi-viewer images																																		
multi-viewer stereo displays																																		
multicast communication																																		
multicast protocols																																		
multimedia communication																																		
multimedia content creation	information systems-information systems applications-multimedia information systems-multimedia content creation																																	
multimedia databases																																		
multimedia learning in virtual reality																																		
multimedia systems	h.5 information interfaces and presentation (e.g. hci): multimedia information systems	h.5.1 information interfaces and presentation: multimedia information systems	h.5.1 [information interfaces and presentation]: multimedia																															
multimodal interaction	multimodal interface																																	
multimodality																																		
multiobject force algorithm																																		
multiperspective rendering																																		
multiperspective visualization																																		
multiple data-sets																																		
multiple sclerosis (ms)																																		
multiple sensory input																																		
multiplexing																																		
multiresolution analysis																																		
multiscale virtual environments																																		
multisensory integration	multisen-sory integration																																	
multisensory vr	multimodal virtual environments																																	
multiserver architecture																																		
multivariate network visualization																																		
multiword																																		
muscles																																		
music																																		
mutual space																																		
nanophotonic phased array																																		
narrative																																		
narrative engagement																																		
nasa																																		
natural languages																																		
natural navigation																																		
navigability metric																																		
navigation	navigation in virtual environment	navigation task	navigation technique																															
near eye displays																																		
need for stimulation																																		
needle insertion																																		
needles																																		
neo-nomads																																		
neoplasms																																		
nerve fibers																																		
nervous system																																		
network latency	network delay	network delay effect																																
network servers																																		
network synthesis																																		
network topology																																		
network visualization																																		
networked applications																																		
networked collaboration																																		
neural network hardware																																		
neuro-ergonomics																																		
neurofeedback																																		
neurological disorders																																		
neuroscience																																		
neurosurgery																																		
nmf method																																		
noise																																		
noise measurement	noise level																																	
noise reduction																																		
non-intrusive measure																																		
non-photorealistic rendering																																		
non-visual interfaces																																		
nonlinear dynamical systems																																		
nonlinear filters																																		
nonnegative least squares																																		
nose																																		
notifications																																		
numerical models																																		
numerical stability																																		
obesity																																		
object capabilities																																		
object density																																		
object detection																																		
object hierarchies	i.3.5 computer graphics: computational geometry and object modeling-object hierarchies																																	
object manipulation																																		
object oriented modeling																																		
object overlay and spatial layout techniques																																		
object recognition																																		
object selection																																		
object-oriented design methods																																		
object-oriented programming	d.1.5 programming techniques: object-oriented programming																																	
observers																																		
occlusion																																		
occlusion management	occlusion reduction																																	
oceans																																		
ocllusion management																																		
octree																																		
ocular system																																		
offset surface																																		
okan																																		
olfactory	smell																																	
olfactory display	odor presentation	odor distribution	olfactory display: human-centered computing-virtual reality-	wearable olfactory display																														
olfactory field																																		
olfactory information																																		
omnidirectional videos																																		
on-line learning																																		
on-screen silhouette																																		
online social worlds																																		
online tracking																																		
onset interval																																		
ontologies																																		
open area test sites																																		
open source software																																		
open-loop																																		
operating systems																																		
optic flow	k.7.m optic flow: -																																	
optical arrays																																		
optical attenuators																																		
optical beams																																		
optical computing																																		
optical coupling																																		
optical design																																		
optical device fabrication																																		
optical devices																																		
optical diffraction																																		
optical distortion																																		
optical feedback																																		
optical fiber networks	optical fiber cables																																	
optical filters																																		
optical flow																																		
optical imaging																																		
optical materials																																		
optical microscopy																																		
optical noise																																		
optical polarization																																		
optical receivers																																		
optical refraction																																		
optical saturation																																		
optical see-through display	optical see-through head mounted display	optical see-through head-mounted display	optical see-through	optical see-through augmented reality	ost ar																													
optical sensors																																		
optical surface waves																																		
optical switches																																		
optical tags																																		
optical tracking																																		
optical variables control																																		
optical waveguides																																		
optics																																		
optimal control																																		
optimization	optimisation	optimization methods	optimization process																															
optimized production technology																																		
optometry																																		
oral communication																																		
orbital robotics																																		
orbits																																		
ores																																		
organizing																																		
orientation drift																																		
orthopedic surgery																																		
oscillators																																		
outdoor augmented reality																																		
outdoor lighting variation																																		
output feedback																																		
pacemakers																																		
packaging																																		
packet loss																																		
page description languages																																		
pain																																		
paleontological data																																		
palpation examination technique																																		
panorama creation																																		
panoramic video																																		
paper technology																																		
parallax barrier																																		
parallax-aware alignment																																		
parallel processing	parallel architectures	parallel programming	parallel programming	d.1.3 programming techniques: concurrent programming-parallel programming																														
parameter estimation																																		
particle measurements																																		
partitioning algorithms																																		
passability																																		
passive haptic feedback																																		
passive transportation																																		
path following task																																		
path planning																																		
path prediction																																		
path redirection																																		
pathology																																		
pattern recognition																																		
pc clusters																																		
pca-factor analysis																																		
pedestrian safety																																		
pedestrian simulation																																		
pediatrics																																		
peer-to-peer computing	peer to peer computing	peer-to-peer																																
perceived depth compression	perceived depth expansion																																	
perceived task performance																																		
perception	computer graphics: perception	computing methodologies-computer graphics-graphics systems and interfaces-perception	computing methodologies-perception	computing methodologies—perception	computing methodologies—computer graphics—graphics systems and interfaces—perception	computing methodologies computer graphics: graphics systems and interfaces perception	i.3.m computer graphics: miscellaneous-perception																											
perception	perception and cognition	computing methodologies�computer graphics�graphics systems and interfaces�perception	computing methodologies perception	—— computing methodologies—perception—																														
perception-action coordination																																		
perceptual detection threshold																																		
perceptual learning																																		
performance																																		
performance evaluation	performance evaluation (h.3.4)	h.3.4 systems and software: performance evaluation	h.3.4: systems and software¿performance evaluation (efficiency and effectiveness)	performance analysis	performance testing																													
performance gain																																		
performance-intensive context																																		
performing arts	human-centered computing—applied computing-arts and humanities—performing arts																																	
peripheral vision																																		
personal communication networks																																		
personality differences																																		
personalization	information systems-information retrieval-users and interactive retrieval-personalization																																	
personalized avatars																																		
personnel																																		
persuasion																																		
pervasive computing																																		
petroleum																																		
phantom limb pain																																		
phantoms																																		
phase-only hologram																																		
phased arrays																																		
phosphors																																		
photodiodes																																		
photogrammetry																																		
photometric registration																																		
photometry																																		
photorealistic virtual environments	i.3.7 computer graphics: three-dimensional graphics and realism-color shading shadowing and texutre																																	
physical activity in vr																																		
physical models																																		
physically-based simulation	physically based simulations	physical simulation	physical based simulation coupling	i.3.5 [computer graphics]: computational geometry and object modeling-physically-based modeling																														
physics																																		
physics computing																																		
physiological measures	physiological data																																	
physiology																																		
piezoelectric actuators																																		
pilot training																																		
pins																																		
pipelines	pipeline																																	
pixel																																		
place-based education																																		
placebo effect																																		
planar feature point extraction																																		
planning																																		
plastics																																		
plausibility																																		
playstation vr																																		
plugs																																		
point cloud compression																																		
point-to-origin																																		
pointing	human-centered computing-human computer interaction (hci)-interaction techniques-pointing	human-centered computing-pointing	human-centered computing—human-computer interaction (hci)—interaction techniques—pointing																															
pointing and selection																																		
polar correlation																																		
polarization																																		
pollution																																		
polynomials																																		
portals																																		
pose estimation																																		
position control																																		
position measurement																																		
position/rate control.																																		
positron emission tomography																																		
post traumatic stress disorder	posttraumatic stress disorder	ptsd																																
postal services																																		
postural stability	postural instability	postural sway																																
power engineering and energy																																		
power engineering computing																																		
power generation																																		
power system management																																		
power system modeling																																		
power system planning																																		
power system reliability																																		
prediction algorithms																																		
prediction error																																		
predictive cues																																		
predictive models																																		
predistortion																																		
prefetching																																		
presence	subjective presence judgement	spatial presence																																
presses																																		
pressing																																		
priming																																		
printers																																		
prism adaptation																																		
privacy	privacy protection	privacy protections																																
probabilistic algorithms																																		
probabilistic logic																																		
probes																																		
problem solving	problem-solving																																	
procedural generation																																		
procedural task																																		
procedure																																		
process design																																		
process planning																																		
processor scheduling																																		
product design	product development																																	
product safety	product liability																																	
production																																		
production facilities																																		
profiling																																		
programming																																		
programming environments	d.2.6 software: software engineering-programming environments	d.2.6.b graphical environments																																
programming profession																																		
project life cycle	k.6.1 management of computing and information systems: project and people management—life cycle	k.6.1 management of computing and information systems-project and people management—life cycle																																
projected fiducial markers																																		
projection																																		
projection transformation																																		
projector array																																		
projector compensation																																		
projector-based displays	projector displays	projection displays	projection-based display systems	multi-projector displays																														
projector-camera systems	projector-camera system																																	
prop-based virtual reality																																		
propioception																																		
proposals																																		
propulsion																																		
prostate cancer																																		
protection																																		
protein interactions																																		
protocols																																		
prototypes																																		
proxemics																																		
proximal algorithms																																		
proximity effect correction																																		
pseudo-gustation																																		
pseudo-haptics																																		
psychiatry																																		
psychoacoustic models																																		
psychology	j.4 [computer applications]: social and behavioral sciences-psychology	j.4 [computer applications]: social and behavioral sciences�psychology	j.4 computer applications: social and behavioral sciences — psychology	j.4 computer applications: social and behavioral sciences-psychology	j.4 computer applications: social and behavioral sciences—psychology	j.4 computer applications: social and behavioral sciences=-psychology	j.4 social and behavioral sciences: psychology	j.4 social and behavioural sciences: psychology	psychology																									
psychometric testing																																		
psychomotor skills education																																		
psychophysical influence																																		
psychophysics	psychophysical study	psychophysical experiment																																
public art																																		
public healthcare																																		
public speaking																																		
pulleys																																		
pulp manufacturing																																		
pulse ejection																																		
pulse force algorithm																																		
pulse measurements																																		
pulse width modulation																																		
pupils																																		
puppetry																																		
qcm gas sensor																																		
qualitative																																		
quality management																																		
quality of experience																																		
quality of service																																		
quaternions																																		
questionnaire																																		
radiance transfer																																		
radiation effects																																		
radio frequency																																		
radio navigation																																		
radiofrequency identification	rfid tags	active rfid tags																																
radiometry																																		
radiosity	i.3.7 computer graphics: three-dimensional graphics and realism-radiosity																																	
railway safety																																		
rain																																		
rapid serial visual presentation																																		
rapidly exploring deterministic tree																																		
rasterization																																		
ray tracing																																		
ray-intersection model																																		
raycasting technique																																		
reach-to-grasp																																		
reaction times																																		
reactive power																																		
read-only memory	read only memory																																	
reading interface																																		
real objects interaction from vr																																		
real time systems																																		
real walking	natural locomotion	natural walking																																
real-time animation																																		
real-time rendering	realtime rendering																																	
real-time simulation																																		
real-time systems	computer systems organization—real-time systems—real- time system architecture																																	
realism	realism�animation																																	
realistic lighting																																		
reality awareness																																		
reconstruction (computer vision)	computer vision: reconstruction	computing methodologies-artificial intelligence-computer vision-reconstruction	computing methodologies�computer vision problems�reconstruction	computing methodologies�reconstruction	artificial intelligence-computer vision-computer vision problems-reconstruction	reconstruction	i.4.8 computing methodologies: image processing and computer vision — reconstruction	mixed reality-virtual reality-reconstruction																										
recruitment																																		
redirected driving																																		
redirected walking (rdw)	redirected walking	recovery in redirected walking	multi-user redirected walking																															
redirection technique	reorientation techniques	redirection																																
referring-strong type																																		
reflection	reflection rendering																																	
refractive index																																		
regional anesthesia																																		
registration																																		
rehabilitation																																		
reinforcement learning																																		
relative translation gains																																		
relays																																		
reliability																																		
relief texture mapping																																		
reminiscence therapy																																		
remodeling																																		
remote collaboration																																		
remote sensing																																		
remote training																																		
rendering (computer graphics)	rendering	computing methodologies�computer graphics�rendering																																
rendering path planning	evaluation methods-renderability-view selection-rendering path planning																																	
replication	i.3.6 methodology and techniques: device independence-replication																																	
representation																																		
reproductive simulation																																		
research and development	research and development management																																	
resetting																																		
resistors																																		
resists																																		
resource allocation																																		
resource description framework																																		
resource management																																		
restricted workspaces																																		
retagging																																		
retina																																		
reusable software	d.2.13 software engineering: reusable software-reuse models																																	
reveal																																		
reverberation																																		
reverse radiosity																																		
rheology																																		
rigid bodies																																		
rivers																																		
road accidents																																		
road transportation																																		
roads																																		
robot control																																		
robot kinematics	i.2.9 artificial intelligence: robotics- kinematics and dynamics																																	
robot programming																																		
robot sensing systems																																		
robot vision systems																																		
robotic assembly																																		
robotic graphics																																		
robotics	robotics and automation	robots	computer systems organization—embedded and cyberphysical systems—robotics																															
robotics workcell organization	i.2.9 artificial intelligence: robotics-workcell organization and planning																																	
robots simulation																																		
robust regression																																		
robust stability																																		
robustness																																		
rotation																																		
rotation measurement																																		
rotation methods																																		
rotational boundary																																		
rough mesh template																																		
rough surfaces																																		
rubber																																		
rubber hand illusion	rubber-hand illusion																																	
running in virtual environment																																		
runtime	runtime environment	runtime library																																
safety																																		
salbinet360																																		
sample entropy																																		
sampling methods																																		
satellites																																		
saw atomizer																																		
scalability																																		
scale																																		
scalp																																		
scape																																		
scarcity																																		
scattering																																		
scenario-based design	human-centered computing—interaction design—interaction design process and methods—scenario-based design	human-centered computing�interaction design�interaction design process and methods�scenario-based design	human-centered computing~scenario-based design																															
scene analysis (computer vision)	computer vision: scene analysis	i.2.10 artificial intelligence: vision and scene understanding 3d/stereo scene analysis	scene analysis																															
scene exploration																																		
scene understanding	computing methodologies�artificial intelligence�computer vision�scene understanding	scene understanding: perceptual reasoning	i.2.10 artifical intelligence: vision and scene understanding-perceptual reasoning																															
scene-graph																																		
scene-independent camera localization																																		
scientific computing																																		
scientific visualization	human-centered computing�visualization�scientific visualization	human-centered computing—scientific visualization	data visualization	data visualisation																														
scouting																																		
